input,aop,cap
nhưng mà giá thì cao hic hic nên thỉnh thoảng mới đổi gió thui tranh thủ những ngày thứ num amp num có ưu đãi bufet lẩu đi nhóm num tính tiền num với giá khoảng giá tiền người,"{giá,cao,negative};{buffet lẩu,ưu đãi,positive};{giá,null,neutral}","{RESTAURANT#PRICES,giá,negative};{RESTAURANT#MISCELLANEOUS,buffet lẩu,positive};{RESTAURANT#PRICES,giá,neutral}"
món cá tầm mình ăn không quen còn món đậu hủ là tệ nhất nhân viên cũng khá thân thiện,"{nhân viên,thân thiện,positive};{món cá tầm,hok quen,negative};{món đậu hủ,tệ,negative}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#QUALITY,món cá tầm,negative};{FOOD#QUALITY,món đậu hủ,negative}"
"thức ăn cũng được mà ít quá hơi buồn cà ri đắt kinh khủng , lẩu tomyum gần giá tiền nhưng mà ăn đáng tiền nhất luôn ấy","{thức ăn,cũng đc,neutral};{thức ăn,ít,negative};{cà ri,đắt,negative};{lẩu tomyum,đáng tiền,positive};{lẩu tomyum,null,neutral}","{FOOD#QUALITY,thức ăn,neutral};{FOOD#STYLE&OPTIONS,thức ăn,negative};{FOOD#PRICES,cà ri,negative};{FOOD#QUALITY,lẩu tomyum,positive};{FOOD#PRICES,lẩu tomyum,neutral}"
thưởng thức sườn bò mỹ rồng thượng hạng ở gyu tốt tốt thật sự mình đánh giá rất cao quán nướng nhật này về chất lượng thịt tốt giá bufet chỉ giá tiền người chưa vat chưa nước,"{sườn bò mỹ rồng,thượng hạng,positive};{chất lượng thịt bò,cao,positive};{giá buffet,null,neutral}","{FOOD#QUALITY,sườn bò mỹ rồng,positive};{FOOD#QUALITY,chất lượng thịt bò,positive};{FOOD#PRICES,giá buffet,neutral}"
"thịt ngon , nhưng phục vụ hơi chậm , quán lại khá đông , giá giá tiền người , thích hợp đi ăn gia đình hoặc ăn nhóm ,","{quán,đông,neutral};{phục vụ,chậm,negative};{thịt,ngon,positive};{giá,null,neutral}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,thịt,positive};{RESTAURANT#PRICES,giá,neutral}"
thời gian chờ đợi cũng kéo dài nhưng đền đáp vì món ăn đều rất tươi và ngon,"{món ăn,ngon,positive};{món ăn,tươi,positive};{thời gian chờ đợi,kéo dài,negative}","{FOOD#QUALITY,món ăn,positive};{FOOD#STYLE&OPTIONS,món ăn,positive};{SERVICE#GENERAL,thời gian chờ đợi,negative}"
có cả khu cafe trong khu bến thuyền món ăn ở ngọc sương làm khá ngon nhưng giá khá cao thích hợp để tiếp khách hay tụ hợp gia đình trong phòng bày trí giống trong bong tàu tạo cảm giác mát mẻ như đang lênh đênh trên biển,"{món ăn,ngon,positive};{giá,cao,negative};{bày trí,mát mẻ,positive}","{FOOD#QUALITY,món ăn,positive};{RESTAURANT#PRICES,giá,negative};{AMBIENCE#GENERAL,bày trí,positive}"
"không gian phòng lạnh rất mát mẻ trang trí đẹp sáng sủa , đồ ăn của quán ngon và khá nhiều giá cả cũng ổn","{đồ ăn,ngon,positive};{đồ ăn,nhiều,positive};{không gian phòng lạnh,mát mẻ,positive};{trang trí,đẹp sáng sủa,positive};{giá cả,ổn,neutral}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,đồ ăn,positive};{AMBIENCE#GENERAL,không gian phòng lạnh,positive};{AMBIENCE#GENERAL,trang trí,positive};{FOOD#PRICES,giá cả,neutral}"
bia ngon đồ ăn trung bình nhưng thái độ nhân viên quá tệ anh mình có xin nhân viên vài cây tăm nhưng nhân viên không nói phớt lờ lời nói anh mình,"{thái độ nhân viên,tệ,negative};{đồ ăn,trung bình,neutral};{bia,ngon,positive}","{SERVICE#GENERAL,thái độ nhân viên,negative};{FOOD#QUALITY,đồ ăn,neutral};{DRINKS#QUALITY,bia,positive}"
thức ăn thì ổn nhưng lên món rất rất chậm,"{lên món,chậm,negative};{thức ăn,ổn,neutral}","{SERVICE#GENERAL,lên món,negative};{FOOD#QUALITY,thức ăn,neutral}"
- giá hơi cao so với các sushi khác nhưng bù lại chất lượng rất tốt .,"{chất lượng,tốt,positive};{giá,cao,negative}","{RESTAURANT#GENERAL,chất lượng,positive};{RESTAURANT#PRICES,giá,negative}"
không gian khá đẹp nhưng quán vắng khách piza thì là piza nướng lại của hôm trước cứng rốp nhân viên phục vụ khá ok giá cả đắt phù hợp cho đặt tiệc,"{quán,vắng,neutral};{nhân viên phục vụ,ok,neutral};{pizza,cứng rốp,negative};{giá cả,đắt,negative};{không gian,đẹp,positive}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,nhân viên phục vụ,neutral};{FOOD#QUALITY,pizza,negative};{RESTAURANT#PRICES,giá cả,negative};{AMBIENCE#GENERAL,không gian,positive}"
"không gian rộng , nhưng món ăn chưa phong phú lắm .","{món ăn,chưa phong phú,negative};{không gian,rộng,positive}","{FOOD#STYLE&OPTIONS,món ăn,negative};{AMBIENCE#GENERAL,không gian,positive}"
vị trí rất dễ tìm chất lượng thực sự mình không thích vị nước lẩu ở quán lắm vì cảm thấy hơi nhiều cà chua,"{vị nước lẩu,không thích,negative};{vị trí,dễ tìm,positive};{nước lẩu,null,negative}","{FOOD#QUALITY,vị nước lẩu,negative};{LOCATION#GENERAL,vị trí,positive};{FOOD#STYLE&OPTIONS,nước lẩu,negative}"
quán ăn ngon nhân viên nhiệt tình thời gian đợi món không quá lâu,"{null,ngon,positive};{nhân viên,nhiệt tình,positive};{thời gian đợi món,không quá lâu,neutral}","{RESTAURANT#GENERAL,null,positive};{SERVICE#GENERAL,nhân viên,positive};{SERVICE#GENERAL,thời gian đợi món,neutral}"
quán rộng rãi thoáng mát đồ ăn tạm món ngon món bình thường,"{đồ ăn,tạm,neutral};{quán,rộng rãi thoáng mát,positive}","{FOOD#QUALITY,đồ ăn,neutral};{RESTAURANT#GENERAL,quán,positive}"
"ngon chuẩn bài bít tết bò , bình quân suất giá tiền","{bít tết bò,ngon,positive};{null,null,neutral}","{FOOD#QUALITY,bít tết bò,positive};{FOOD#PRICES,null,neutral}"
thái độ các bạn phục vụ tốt nhưng thời gian lên thức ăn rất chậm có món vịt quay thơm phức nhé,"{thái độ,tốt,positive};{thời gian lên thức ăn,chậm,negative};{món vịt quay,thơm phức,positive}","{SERVICE#GENERAL,thái độ,positive};{SERVICE#GENERAL,thời gian lên thức ăn,negative};{FOOD#QUALITY,món vịt quay,positive}"
không gian rộng rãi sạch sẽ nhưng chỗ ngồi ăn hơi nhỏ,"{không gian,rộng rãi sạch sẽ,positive};{chỗ ngồi ăn,nhỏ,negative}","{AMBIENCE#GENERAL,không gian,positive};{RESTAURANT#MISCELLANEOUS,chỗ ngồi ăn,negative}"
không gian quán sạch sẽ thoáng mát nhân viên phục vụ chu đáo nhưng đồ ăn lên hơi chậm num,"{nhân viên phục vụ,chu đáo,positive};{đồ ăn lên,chậm,negative};{không gian,sạch sẽ thoáng mát,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{SERVICE#GENERAL,đồ ăn lên,negative};{AMBIENCE#GENERAL,không gian,positive}"
quán khá đông khách nên đôi khi phải chờ hơi lâu nhưng bù lại đồ ăn chất lượng và hấp dẫn,"{quán,đông khách,neutral};{chờ,lâu,negative};{đồ ăn,chất lượng,positive};{đồ ăn,hấp dẫn,positive}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,chờ,negative};{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,đồ ăn,positive}"
thực đơn thì rất nhiều món đã hết phục vụ rất chậm phải chờ đợi rất lâu mới có món có món đọi đến giờ về cũng không có mì thì nấm bị chua còn lại ướp cũng tạm thôi,"{phục vụ,chậm,negative};{nấm,chua,negative};{ướp,tạm,neutral};{menu,nhiều món đã hết,negative}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,nấm,negative};{FOOD#QUALITY,ướp,neutral};{FOOD#STYLE&OPTIONS,menu,negative}"
vị trí khó tìm mình phải nhờ bản đổ chỉ dẫn trên fody mới mò ra được không gian rộng rãi đẹp sạch sẽ,"{không gian,rộng rãi đẹp sạch sẽ,positive};{vị trí,khó tìm,negative}","{AMBIENCE#GENERAL,không gian,positive};{LOCATION#GENERAL,vị trí,negative}"
phục vụ không nhiệt tình thái độ không lịch sự xứng đáng num sao cho trang trí quán đẹp,"{thái độ,không lịch sự,negative};{phục vụ,không nhiệt tình,negative};{trang trí,đẹp,positive};{thái độ,không lịch sự,negative}","{SERVICE#GENERAL,thái độ,negative};{SERVICE#GENERAL,phục vụ,negative};{AMBIENCE#GENERAL,trang trí,positive};{SERVICE#GENERAL,thái độ,negative}"
đồ ăn phụ ngon nhưng mà ít mà trình bày không đẹp,"{đồ ăn phụ,ngon,positive};{đồ ăn phụ,ít,negative};{trình bày,ko đẹp,negative}","{FOOD#QUALITY,đồ ăn phụ,positive};{FOOD#STYLE&OPTIONS,đồ ăn phụ,negative};{FOOD#STYLE&OPTIONS,trình bày,negative}"
giá hơi cao so với các quán khác nhưng thịt ngon dịch vụ tốt,"{dịch vụ,tốt,positive};{thịt,ngon,positive};{giá,cao,negative}","{SERVICE#GENERAL,dịch vụ,positive};{FOOD#QUALITY,thịt,positive};{RESTAURANT#PRICES,giá,negative}"
công bằng mà nói quán này rất đông khách dù trong hẻm sâu chứng tỏ phải khá ngon,"{khách,đông,neutral};{null,ngon,positive};{null,hẻm sâu,negative}","{RESTAURANT#GENERAL,khách,neutral};{FOOD#QUALITY,null,positive};{LOCATION#GENERAL,null,negative}"
đồ ăn ngon nhưng không gian bị phá hỏng bởi tiếng ồn,"{đồ ăn,ngon,positive};{không gian,ồn,negative}","{FOOD#QUALITY,đồ ăn,positive};{AMBIENCE#GENERAL,không gian,negative}"
rau nhiều loại sạch sẽ thịt thái num miếng mỏng dính thổi chắc bay ăn không có gì đặc sắc,"{thịt,null,neutral};{rau,sạch sẽ,positive};{rau,nhiều loại,positive};{thịt,mỏng dính,negative}","{FOOD#QUALITY,thịt,neutral};{FOOD#QUALITY,rau,positive};{FOOD#STYLE&OPTIONS,rau,positive};{FOOD#STYLE&OPTIONS,thịt,negative}"
đồ ăn ngon giá hơi cao tí nhưng chất lượng tốt,"{đồ ăn,ngon,positive};{giá,cao,negative};{chất lượng,tốt,positive}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#PRICES,giá,negative};{FOOD#QUALITY,chất lượng,positive}"
điểm cộng đồ ăn ngon vừa miệng chuyên nghiệp điểm trừ nước giá cao trà đá giá tiền sữa thái giá tiền và xôi xoài cũng tới giá tiền,"{đồ ăn,ngon vừa miệng chuyên nghiệp,positive};{giá,cao,negative};{xôi xoài,null,neutral};{trà đá,null,neutral};{sữa thái,null,neutral}","{FOOD#QUALITY,đồ ăn,positive};{DRINKS#PRICES,giá,negative};{FOOD#PRICES,xôi xoài,neutral};{DRINKS#PRICES,trà đá,neutral};{DRINKS#PRICES,sữa thái,neutral}"
bữa lại chi nhánh này ăn vì thấy nó gần nhà với lại cũng vắng nghĩ bụng chắc sẽ làm nhanh không như những chổ khác ai dè nó chẳng những lâu mà phục vụ thì cũng siêu tệ,"{null,vắng,neutral};{null,lâu,negative};{phục vụ,tệ,negative};{gần nhà,null,positive}","{RESTAURANT#GENERAL,null,neutral};{SERVICE#GENERAL,null,negative};{SERVICE#GENERAL,phục vụ,negative};{LOCATION#GENERAL,gần nhà,positive}"
thịt nướng rất ngon ăn nhân viên vô cùng lịch sự và chu đáo còn món lẩu cho num người ăn cũng rất ngon tuy nhiên giá cả mình cho là hơi đắt chưa xứng đáng lắm đồ uống cũng bình thường,"{nhân viên,lịch sự,positive};{thịt nướng,ngon,positive};{lẩu cho 2 người,ngon,positive};{giá cả,đắt,negative};{đồ uống,bình thường,neutral};{nhân viên,chu đáo,positive}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#QUALITY,thịt nướng,positive};{FOOD#QUALITY,lẩu cho 2 người,positive};{RESTAURANT#PRICES,giá cả,negative};{DRINKS#QUALITY,đồ uống,neutral};{SERVICE#GENERAL,nhân viên,positive}"
"giá cả num sao , chất lượng phục vụ âm sao .","{chất lượng phục vụ,null,negative};{Giá cả,null,positive}","{SERVICE#GENERAL,chất lượng phục vụ,negative};{RESTAURANT#PRICES,Giá cả,positive}"
mình thường hay đến hokaido ăn giá hơi cao nhưng đồ chất lượng lắm ạ,"{đồ,chất lượng,positive};{giá,cao,negative}","{RESTAURANT#GENERAL,đồ,positive};{RESTAURANT#PRICES,giá,negative}"
không gian khá đẹp sang trọng và nhìn rất cao cấp những món ăn cũng tương đối ngon mà còn được trang trí hấp dẫn giá phù hợp không quá cao với mọi người,"{món ăn,ngon,positive};{trang trí,hấp dẫn,positive};{giá,phù hợp,neutral};{null,cao cấp,positive};{không gian,đẹp sang trọng,positive}","{FOOD#QUALITY,món ăn,positive};{FOOD#STYLE&OPTIONS,trang trí,positive};{RESTAURANT#PRICES,giá,neutral};{AMBIENCE#GENERAL,null,positive};{AMBIENCE#GENERAL,không gian,positive}"
pana cota mỗi ly bé tí nhưng mà ngon tốt,"{panna cotta,bé tí,negative};{panna cotta,ngon,positive}","{FOOD#STYLE&OPTIONS,panna cotta,negative};{FOOD#QUALITY,panna cotta,positive}"
thức ăn khá ngon nhưng thái độ phục vụ thật sự rất tệ,"{thái độ phục vụ,tệ,negative};{thức ăn,ngon,positive}","{SERVICE#GENERAL,thái độ phục vụ,negative};{FOOD#QUALITY,thức ăn,positive}"
đồ uống cũng ok không có gì quá đặc sắc giá cũng khá cao đặc biệt ở đây còn bán đồ linh tinh các thể loại mà cái gì thấy cũng mắc quá tốt,"{giá,cao,negative};{đồ uống,ok,neutral};{đồ linh tinh,mắc,negative}","{DRINKS#PRICES,giá,negative};{DRINKS#QUALITY,đồ uống,neutral};{RESTAURANT#MISCELLANEOUS,đồ linh tinh,negative}"
"nhà hàng quang cảnh đẹp món ăn tạm ổn , vói chug ok","{món ăn,tạm ổn,neutral};{view,đẹp,positive}","{FOOD#QUALITY,món ăn,neutral};{LOCATION#GENERAL,view,positive}"
bát hủ tiếu nhìn đầy đặn ngon giá cả mình thấy hơi cao nhưng ăn no ấm bụng nên thấy cũng xứng đáng,"{bát hủ tiếu,ngon,positive};{bát hủ tiếu,đầy đặn,positive};{giá cả,cao,negative}","{FOOD#QUALITY,bát hủ tiếu,positive};{FOOD#STYLE&OPTIONS,bát hủ tiếu,positive};{FOOD#PRICES,giá cả,negative}"
quán làm món siêu lâu đợi rã ruột nhận được num hộp mỡ heo lèo phèo như này thất vọng quá đi mất sốt cũng chả ngon gì cơm thì cứng chắc quán được mỗi điểm bao bì sạch đẹp lt,"{làm món,lâu,negative};{hộp mỡ heo,thất vọng,negative};{sốt,chả ngon,negative};{cơm,cứng,negative};{bao bì,sạch đẹp,positive}","{SERVICE#GENERAL,làm món,negative};{FOOD#QUALITY,hộp mỡ heo,negative};{FOOD#QUALITY,sốt,negative};{FOOD#QUALITY,cơm,negative};{RESTAURANT#MISCELLANEOUS,bao bì,positive}"
"đồ ăn tạm được , giá cao , món bánh tráng gam mè không ngon , có vị đắng , có lẻ do chiên dầu cũ , hơi bị khét , không gian quán đẹp , thoải mái !","{đồ ăn,tạm được,neutral};{món bánh tráng gam mè,ko ngon,negative};{vị,đắng,negative};{không gian,đẹ,positive};{giá,cao,negative}","{FOOD#QUALITY,đồ ăn,neutral};{FOOD#QUALITY,món bánh tráng gam mè,negative};{FOOD#QUALITY,vị,negative};{AMBIENCE#GENERAL,không gian,positive};{RESTAURANT#PRICES,giá,negative}"
vị trí trong hẻm nhưng dễ tìm không gian nhỏ nhắn nhưng ấm cúm trang trí đẹp và lịch sự đồ ăn steak ngon đẹp nhưng lâu lâu gặp miếng hơi dai,"{steak,ngon,positive};{steak,đẹp,positive};{không gian,ấm cúm,neutral};{trang trí,đẹp,positive};{vị trí,dễ tìm,positive};{trang trí,lịch sự,positive}","{FOOD#QUALITY,steak,positive};{FOOD#STYLE&OPTIONS,steak,positive};{AMBIENCE#GENERAL,không gian,neutral};{AMBIENCE#GENERAL,trang trí,positive};{LOCATION#GENERAL,vị trí,positive};{AMBIENCE#GENERAL,trang trí,positive}"
tô mì ở đây cảm thấy rất ít ngon thật nhưng mà chỉ ăn một ít vậy chưa đủ no,"{null,ngon,positive};{tô mì,ít,negative}","{FOOD#QUALITY,null,positive};{FOOD#STYLE&OPTIONS,tô mì,negative}"
đồ ăn ngon nhưng nhân viên làm thất vọng quá mức,"{nhân viên,thất vọng,negative};{đồ ăn,ngon,positive}","{SERVICE#GENERAL,nhân viên,negative};{FOOD#QUALITY,đồ ăn,positive}"
đồ ăn không có gì đặc sắc nước chấm sốt ướp cũng như chất lượng thịt thực sự bình thường phục vụ thì rất rất chậm,"{phục vụ,chậm,negative};{đồ ăn,ko có gì đặc sắc,neutral};{nước chấm,bình thường,neutral};{sốt ướp,bình thường,neutral};{chất lượng thịt,bình thường,neutral}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,đồ ăn,neutral};{FOOD#QUALITY,nước chấm,neutral};{FOOD#QUALITY,sốt ướp,neutral};{FOOD#QUALITY,chất lượng thịt,neutral}"
cuối tuần đi nhậu với mấy anh công ty ở đây quán rộng mà đông nghẹt luôn chờ num phút mới có chỗ chui vào,"{quán,rộng,positive};{chờ,null,negative};{null,đông,neutral}","{RESTAURANT#GENERAL,quán,positive};{SERVICE#GENERAL,chờ,negative};{RESTAURANT#GENERAL,null,neutral}"
"kidinsaigon là kiểu nhà hàng nổi tiếng , thích hợp để đi ăn gia đình do thực đơn đa dạng đủ loại đồ ăn , khách đông nên gọi món hơi chậm","{kidiinsaigon,nổi tiếng,positive};{menu,đa dạng đủ loại,positive};{khách,đông,neutral};{gọi món,chậm,negative}","{RESTAURANT#GENERAL,kidiinsaigon,positive};{FOOD#STYLE&OPTIONS,menu,positive};{RESTAURANT#GENERAL,khách,neutral};{SERVICE#GENERAL,gọi món,negative}"
"uống ngon , mùi trà thơm nồng , ít béo của sữa , rất vừa uống , nhân viên ok , giá cả hợp lí .","{nhân viên,ok,neutral};{uống,ngon,positive};{null,vừa uống,neutral};{giá cả,hợp lí,positive};{mùi trà,thơm nồng,positive};{sữa,ít béo,positive}","{SERVICE#GENERAL,nhân viên,neutral};{DRINKS#QUALITY,uống,positive};{DRINKS#QUALITY,null,neutral};{DRINKS#PRICES,giá cả,positive};{DRINKS#QUALITY,mùi trà,positive};{DRINKS#QUALITY,sữa,positive}"
nhân viên phục vụ hơi lơ ngơ món cá mú sahimi hấp dẫn,"{nhân viên phục vụ,lơ ngơ,negative};{món cá mú sahimi,hấp dẫn,positive}","{SERVICE#GENERAL,nhân viên phục vụ,negative};{FOOD#STYLE&OPTIONS,món cá mú sahimi,positive}"
🥯bao xá xíu giá tiền khá nhỏ nhưng thịt chất lượng,"{thịt,chất lượng,positive};{null,nhỏ,negative};{bao xá xíu,null,neutral}","{FOOD#QUALITY,thịt,positive};{FOOD#STYLE&OPTIONS,null,negative};{FOOD#PRICES,bao xá xíu,neutral}"
"nhân viên nhìn chung ok nhưng phục vụ hơi lâu , còn lại mọi thứ mình thấy tuyệt","{nhân viên,ok,neutral};{phục vụ,lâu,negative};{mọi thứ,tuyệt,positive}","{SERVICE#GENERAL,nhân viên,neutral};{SERVICE#GENERAL,phục vụ,negative};{RESTAURANT#GENERAL,mọi thứ,positive}"
tuy không gian có hơi củ kĩ vì đã xay dung lâu lắm rồi nhưng chất lượng món ăn và phục vụ khách thì dễ thương không lẫn vào đâu được,"{phục vụ khách,dễ thương,positive};{chất lượng món ăn,null,positive};{không gian,củ kĩ,negative}","{SERVICE#GENERAL,phục vụ khách,positive};{FOOD#QUALITY,chất lượng món ăn,positive};{AMBIENCE#GENERAL,không gian,negative}"
giá thì hơi cao đấy nhân viên phục vụ lịch sự,"{nhân viên phục vụ,lịch sự,positive};{giá,cao,negative}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{RESTAURANT#PRICES,giá,negative}"
bufet hơi chán vì đồ ăn kèm không đa dạng lên món lâu quá nhưng được miễn phí nước,"{buffet,chán,negative};{đồ ăn kèm,không đa dạng,negative};{lên món,lâu,negative};{nước,free,positive}","{FOOD#QUALITY,buffet,negative};{FOOD#STYLE&OPTIONS,đồ ăn kèm,negative};{SERVICE#GENERAL,lên món,negative};{FOOD#STYLE&OPTIONS,nước,positive}"
về nhân viên phục vụ nhanh gọn vui vẻ nhiệt tình về không gian ấm cúng được về món ăn bánh mỏng ăn không ngon lắm nhưng bù lại bánh dày ăn rất ok,"{nhân viên phục vụ,nhanh gọn vui vẻ nhiệt tình,positive};{bánh mỏng,không ngon,negative};{bánh dày,rất ok,positive};{không gian,ấm cúng,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{FOOD#QUALITY,bánh mỏng,negative};{FOOD#QUALITY,bánh dày,positive};{AMBIENCE#GENERAL,không gian,positive}"
"dimsum không ngon , phục vụ ok , giá cả chưa thật sự phù hợp !","{Dimsum,không ngon,negative};{phục vụ,ok,neutral};{giá cả,null,negative}","{FOOD#QUALITY,Dimsum,negative};{SERVICE#GENERAL,phục vụ,neutral};{RESTAURANT#PRICES,giá cả,negative}"
giá bufer tối niko cao mà hải sản không nhiều không gian nhỏ đồ ăn cũng ngon mà rượu dở không thể nào uống được,"{đồ ăn,ngon,positive};{hải sản,không nhiều,negative};{không gian,nhỏ,negative};{rượu,dở,negative};{giá buffer,cao,negative}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,hải sản,negative};{AMBIENCE#GENERAL,không gian,negative};{DRINKS#QUALITY,rượu,negative};{RESTAURANT#PRICES,giá buffer,negative}"
gọi món hơi lâu nhưng chất lượng đồ ăn tốt rất sạch sẽ,"{chất lượng đồ ăn,tốt,positive};{gọi món,lâu,negative};{chất lượng đồ ăn,sạch sẽ,positive}","{FOOD#QUALITY,chất lượng đồ ăn,positive};{SERVICE#GENERAL,gọi món,negative};{FOOD#QUALITY,chất lượng đồ ăn,positive}"
món ăn ngon hợp khẩu vị chi phí không quá cao,"{món ăn,ngon hợp khẩu vị,positive};{chi phí,không quá cao,neutral}","{FOOD#QUALITY,món ăn,positive};{FOOD#PRICES,chi phí,neutral}"
tuy nhiên ngoài điểm trừ về không gian thì thực đơn đồ ăn đến chất lượng món đều đánh giá cao,"{chất lượng món,đánh giá cao,positive};{menu đồ ăn,đánh giá cao,positive};{không gian,điểm trừ,negative}","{FOOD#QUALITY,chất lượng món,positive};{FOOD#STYLE&OPTIONS,menu đồ ăn,positive};{AMBIENCE#GENERAL,không gian,negative}"
dể thương ghê nhân viên phục vụ rất chuyên nghiệp nhưng món lên khá lâu khoản num phút thức ăn thì theo mình là khá ngon trang trí kiểu cách xứng đáng đồng tiền,"{nhân viên phục vụ,chuyên nghiệp,positive};{món lên,lâu,negative};{thức ăn,ngon,positive};{trang trí kiểu cách,xứng đáng,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{SERVICE#GENERAL,món lên,negative};{FOOD#QUALITY,thức ăn,positive};{FOOD#STYLE&OPTIONS,trang trí kiểu cách,positive}"
giá hơi đắt hơi dimtutac một chút nhưng bù lại không gian tuyệt vời,"{giá,đắt,negative};{không gian,tuyệt vời,positive}","{RESTAURANT#PRICES,giá,negative};{AMBIENCE#GENERAL,không gian,positive}"
gà sốt mexican ngon chất lượng đồ ăn tốt không gian trang trí đẹp nên giá cả của nhà hàng này không phải là rẻ,"{gà sốt mexican,ngon,positive};{chất lượng đồ ăn,tốt,positive};{không gian trang trí,đẹp,positive};{giá cả,null,negative}","{FOOD#QUALITY,gà sốt mexican,positive};{FOOD#QUALITY,chất lượng đồ ăn,positive};{AMBIENCE#GENERAL,không gian trang trí,positive};{RESTAURANT#PRICES,giá cả,negative}"
ăn cũng được giá hơi đắt nước mắm ngon nhưng nem cho nhiều bột ngọt quá mình là không bị dị ứng nhưng còn cảm nhận được là bột ngọt quá nhiều thì bạn nào mà nói bột ngọt chắc ngất luôn,"{null,cũng đc,neutral};{nước mắm,ngon,positive};{nem,nhiều bột ngọt,negative};{giá,đắt,negative}","{FOOD#QUALITY,null,neutral};{FOOD#QUALITY,nước mắm,positive};{FOOD#QUALITY,nem,negative};{RESTAURANT#PRICES,giá,negative}"
đồ ăn trên hàng rất dỡ nguội hải sản không tươi đồ ăn đồ nướng thì không đa dạng kêu nước cái ly trà kiwi giá tiền ly to mà đem ra ly nhỏ phục vụ thì kêu num lần mới nghe như không thèm phục vụ,"{kêu nước,null,negative};{phục vụ,null,negative};{đồ ăn,dỡ nguội,negative};{hải sản,không tươii,negative};{đồ nướng,ko đa dạng,negative};{ly trà kiwi,null,neutral}","{SERVICE#GENERAL,kêu nước,negative};{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,đồ ăn,negative};{FOOD#STYLE&OPTIONS,hải sản,negative};{FOOD#STYLE&OPTIONS,đồ nướng,negative};{DRINKS#PRICES,ly trà kiwi,neutral}"
"đồ ăn không có đặc sắc , không dở không ngon , nhưng so với giá thì chấp nhận được , nhân viên hiền dễ thương ,","{nhân viên,hiền dễ thương,positive};{đồ ăn,null,neutral};{giá,chấp nhận đc,neutral}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#QUALITY,đồ ăn,neutral};{RESTAURANT#PRICES,giá,neutral}"
"không gian quán khá rộng , điểm trừ duy nhất hôm đấy mình đi là cái kẹp thịt ý , chưa được rửa với lau sạch","{không gian,rộng,positive};{ cái kẹp thịt,null,negative}","{AMBIENCE#GENERAL,không gian,positive};{RESTAURANT#MISCELLANEOUS, cái kẹp thịt,negative}"
"đồ uống ở đây cũng khá đa dạng và phong phú , nhưng giá khá đắt nhé .","{đồ uống,đa dạng,positive};{giá,đắt,negative};{đồ uống,phong phú,positive}","{DRINKS#STYLE&OPTIONS,đồ uống,positive};{DRINKS#PRICES,giá,negative};{DRINKS#STYLE&OPTIONS,đồ uống,positive}"
quán nhỏ khoảng num bàn nhưng khá khang trang và phong cách sạch sẽ,"{quán,khang trang,positive};{phong cách,sạch sẽ,positive};{quán,nhỏ,negative}","{RESTAURANT#GENERAL,quán,positive};{AMBIENCE#GENERAL,phong cách,positive};{RESTAURANT#GENERAL,quán,negative}"
"đồ ăn ngon giá cả vừa tầm , bày trí món ăn cũng rất đẹp","{Đồ ăn,ngon,positive};{giá cả,vừa tầm,neutral};{bày trí món ăn,đẹp,positive}","{FOOD#QUALITY,Đồ ăn,positive};{FOOD#PRICES,giá cả,neutral};{FOOD#STYLE&OPTIONS,bày trí món ăn,positive}"
"không gian : tầng num chọn mua đồ + thanh toán , tầng num để ngồi , có điều hòa + wifi 👏🏻👏🏻 .","{không gian,null,neutral};{điều hòa,null,positive};{wifi,null,positive}","{AMBIENCE#GENERAL,không gian,neutral};{RESTAURANT#MISCELLANEOUS,điều hòa,positive};{RESTAURANT#MISCELLANEOUS,wifi,positive}"
tối hôm qua mình có đến nhà hàng ăn cùng vài người bạn quản lý rất nhiệt tình và dễ thương tuy giá cả khá cao nhưng cảm thấy rất đáng đồng tiền bỏ ra vì đồ ăn ngon,"{quản lý,nhiệt tình,positive};{đồ ăn,ngon,positive};{giá cả,cao,negative};{quản lý,dễ thương,positive}","{SERVICE#GENERAL,quản lý,positive};{FOOD#QUALITY,đồ ăn,positive};{RESTAURANT#PRICES,giá cả,negative};{SERVICE#GENERAL,quản lý,positive}"
