input,ao,ap,cp
đồ ăn vẫn ngon như mọi khi nhưng phục vụ thấy không nồng nhiệt như lúc trước,"{phục vụ,ko nồng nhiệt};{đồ ăn,ngon}","{phục vụ,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
tệ tệ dịch vụ nhân viên nhanh nhẹn lịch sự đồ ăn lên nhanh mặc dù lúc mình đến quán rất đông khách giá cả num suất giá tiền tính ra thì đắt so với lượng thức ăn như thế,"{quán,đông khách};{dịch vụ nhân viên,nhanh nhẹn lịch sự};{đồ ăn lên,nhanh};{giá cả,đắt};{giá cả,null}","{quán,neutral};{dịch vụ nhân viên,positive};{đồ ăn lên,positive};{giá cả,negative};{giá cả,neutral}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,positive};{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#PRICES,neutral}"
"chuẩn bị món ăn hơi chậm và phục vụ chưa được nhanh nhẹn niềm nở lắm , quán rộng rãi sạch sẽ","{chuẩn bị món ăn,chậm};{phục vụ,null};{quán,rộng rãi sạch sẽ}","{chuẩn bị món ăn,negative};{phục vụ,negative};{quán,positive}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
piza bình thường không ngon tệ điều gỡ gạc lại được là nhân viên dễ thương,"{nhân viên,dễ thương};{pizza,bình thường}","{nhân viên,positive};{pizza,neutral}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral}"
ở đây cái gì cũng đắt chỉ có cái sạch sẽ và ăn cũng ngon nên bù lại nè,"{null,ngon};{null,đắt};{null,sạch sẽ}","{null,positive};{null,negative};{null,positive}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#GENERAL,positive}"
"đồ ăn cũng ổn , giá thì hơi chát nhé , phục vụ chậm , do đói nên thứ chung ăn , không chụp được nhiều hình ,","{phục vụ,chậm};{đồ ăn,ổn};{giá,chát}","{phục vụ,negative};{đồ ăn,neutral};{giá,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{FOOD#PRICES,negative}"
nhưng mà giá thì cao hic hic nên thỉnh thoảng mới đổi gió thui tranh thủ những ngày thứ num amp num có ưu đãi bufet lẩu đi nhóm num tính tiền num với giá khoảng giá tiền người,"{giá,cao};{buffet lẩu,ưu đãi};{giá,null}","{giá,negative};{buffet lẩu,positive};{giá,neutral}","{RESTAURANT#PRICES,negative};{RESTAURANT#MISCELLANEOUS,positive};{RESTAURANT#PRICES,neutral}"
món cá tầm mình ăn không quen còn món đậu hủ là tệ nhất nhân viên cũng khá thân thiện,"{nhân viên,thân thiện};{món cá tầm,hok quen};{món đậu hủ,tệ}","{nhân viên,positive};{món cá tầm,negative};{món đậu hủ,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative}"
"thức ăn cũng được mà ít quá hơi buồn cà ri đắt kinh khủng , lẩu tomyum gần giá tiền nhưng mà ăn đáng tiền nhất luôn ấy","{thức ăn,cũng đc};{thức ăn,ít};{cà ri,đắt};{lẩu tomyum,đáng tiền};{lẩu tomyum,null}","{thức ăn,neutral};{thức ăn,negative};{cà ri,negative};{lẩu tomyum,positive};{lẩu tomyum,neutral}","{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,negative};{FOOD#QUALITY,positive};{FOOD#PRICES,neutral}"
thưởng thức sườn bò mỹ rồng thượng hạng ở gyu tốt tốt thật sự mình đánh giá rất cao quán nướng nhật này về chất lượng thịt tốt giá bufet chỉ giá tiền người chưa vat chưa nước,"{sườn bò mỹ rồng,thượng hạng};{chất lượng thịt bò,cao};{giá buffet,null}","{sườn bò mỹ rồng,positive};{chất lượng thịt bò,positive};{giá buffet,neutral}","{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{FOOD#PRICES,neutral}"
"thịt ngon , nhưng phục vụ hơi chậm , quán lại khá đông , giá giá tiền người , thích hợp đi ăn gia đình hoặc ăn nhóm ,","{quán,đông};{phục vụ,chậm};{thịt,ngon};{giá,null}","{quán,neutral};{phục vụ,negative};{thịt,positive};{giá,neutral}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,neutral}"
thời gian chờ đợi cũng kéo dài nhưng đền đáp vì món ăn đều rất tươi và ngon,"{món ăn,ngon};{món ăn,tươi};{thời gian chờ đợi,kéo dài}","{món ăn,positive};{món ăn,positive};{thời gian chờ đợi,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{SERVICE#GENERAL,negative}"
có cả khu cafe trong khu bến thuyền món ăn ở ngọc sương làm khá ngon nhưng giá khá cao thích hợp để tiếp khách hay tụ hợp gia đình trong phòng bày trí giống trong bong tàu tạo cảm giác mát mẻ như đang lênh đênh trên biển,"{món ăn,ngon};{giá,cao};{bày trí,mát mẻ}","{món ăn,positive};{giá,negative};{bày trí,positive}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
"không gian phòng lạnh rất mát mẻ trang trí đẹp sáng sủa , đồ ăn của quán ngon và khá nhiều giá cả cũng ổn","{đồ ăn,ngon};{đồ ăn,nhiều};{không gian phòng lạnh,mát mẻ};{trang trí,đẹp sáng sủa};{giá cả,ổn}","{đồ ăn,positive};{đồ ăn,positive};{không gian phòng lạnh,positive};{trang trí,positive};{giá cả,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive};{FOOD#PRICES,neutral}"
bia ngon đồ ăn trung bình nhưng thái độ nhân viên quá tệ anh mình có xin nhân viên vài cây tăm nhưng nhân viên không nói phớt lờ lời nói anh mình,"{thái độ nhân viên,tệ};{đồ ăn,trung bình};{bia,ngon}","{thái độ nhân viên,negative};{đồ ăn,neutral};{bia,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{DRINKS#QUALITY,positive}"
thức ăn thì ổn nhưng lên món rất rất chậm,"{lên món,chậm};{thức ăn,ổn}","{lên món,negative};{thức ăn,neutral}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral}"
- giá hơi cao so với các sushi khác nhưng bù lại chất lượng rất tốt .,"{chất lượng,tốt};{giá,cao}","{chất lượng,positive};{giá,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative}"
không gian khá đẹp nhưng quán vắng khách piza thì là piza nướng lại của hôm trước cứng rốp nhân viên phục vụ khá ok giá cả đắt phù hợp cho đặt tiệc,"{quán,vắng};{nhân viên phục vụ,ok};{pizza,cứng rốp};{giá cả,đắt};{không gian,đẹp}","{quán,neutral};{nhân viên phục vụ,neutral};{pizza,negative};{giá cả,negative};{không gian,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,neutral};{FOOD#QUALITY,negative};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
"không gian rộng , nhưng món ăn chưa phong phú lắm .","{món ăn,chưa phong phú};{không gian,rộng}","{món ăn,negative};{không gian,positive}","{FOOD#STYLE&OPTIONS,negative};{AMBIENCE#GENERAL,positive}"
vị trí rất dễ tìm chất lượng thực sự mình không thích vị nước lẩu ở quán lắm vì cảm thấy hơi nhiều cà chua,"{vị nước lẩu,không thích};{vị trí,dễ tìm};{nước lẩu,null}","{vị nước lẩu,negative};{vị trí,positive};{nước lẩu,negative}","{FOOD#QUALITY,negative};{LOCATION#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative}"
quán ăn ngon nhân viên nhiệt tình thời gian đợi món không quá lâu,"{null,ngon};{nhân viên,nhiệt tình};{thời gian đợi món,không quá lâu}","{null,positive};{nhân viên,positive};{thời gian đợi món,neutral}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,positive};{SERVICE#GENERAL,neutral}"
quán rộng rãi thoáng mát đồ ăn tạm món ngon món bình thường,"{đồ ăn,tạm};{quán,rộng rãi thoáng mát}","{đồ ăn,neutral};{quán,positive}","{FOOD#QUALITY,neutral};{RESTAURANT#GENERAL,positive}"
"ngon chuẩn bài bít tết bò , bình quân suất giá tiền","{bít tết bò,ngon};{null,null}","{bít tết bò,positive};{null,neutral}","{FOOD#QUALITY,positive};{FOOD#PRICES,neutral}"
thái độ các bạn phục vụ tốt nhưng thời gian lên thức ăn rất chậm có món vịt quay thơm phức nhé,"{thái độ,tốt};{thời gian lên thức ăn,chậm};{món vịt quay,thơm phức}","{thái độ,positive};{thời gian lên thức ăn,negative};{món vịt quay,positive}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
không gian rộng rãi sạch sẽ nhưng chỗ ngồi ăn hơi nhỏ,"{không gian,rộng rãi sạch sẽ};{chỗ ngồi ăn,nhỏ}","{không gian,positive};{chỗ ngồi ăn,negative}","{AMBIENCE#GENERAL,positive};{RESTAURANT#MISCELLANEOUS,negative}"
không gian quán sạch sẽ thoáng mát nhân viên phục vụ chu đáo nhưng đồ ăn lên hơi chậm num,"{nhân viên phục vụ,chu đáo};{đồ ăn lên,chậm};{không gian,sạch sẽ thoáng mát}","{nhân viên phục vụ,positive};{đồ ăn lên,negative};{không gian,positive}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
quán khá đông khách nên đôi khi phải chờ hơi lâu nhưng bù lại đồ ăn chất lượng và hấp dẫn,"{quán,đông khách};{chờ,lâu};{đồ ăn,chất lượng};{đồ ăn,hấp dẫn}","{quán,neutral};{chờ,negative};{đồ ăn,positive};{đồ ăn,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive}"
thực đơn thì rất nhiều món đã hết phục vụ rất chậm phải chờ đợi rất lâu mới có món có món đọi đến giờ về cũng không có mì thì nấm bị chua còn lại ướp cũng tạm thôi,"{phục vụ,chậm};{nấm,chua};{ướp,tạm};{menu,nhiều món đã hết}","{phục vụ,negative};{nấm,negative};{ướp,neutral};{menu,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,negative};{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,negative}"
vị trí khó tìm mình phải nhờ bản đổ chỉ dẫn trên fody mới mò ra được không gian rộng rãi đẹp sạch sẽ,"{không gian,rộng rãi đẹp sạch sẽ};{vị trí,khó tìm}","{không gian,positive};{vị trí,negative}","{AMBIENCE#GENERAL,positive};{LOCATION#GENERAL,negative}"
phục vụ không nhiệt tình thái độ không lịch sự xứng đáng num sao cho trang trí quán đẹp,"{thái độ,không lịch sự};{phục vụ,không nhiệt tình};{trang trí,đẹp};{thái độ,không lịch sự}","{thái độ,negative};{phục vụ,negative};{trang trí,positive};{thái độ,negative}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{AMBIENCE#GENERAL,positive};{SERVICE#GENERAL,negative}"
đồ ăn phụ ngon nhưng mà ít mà trình bày không đẹp,"{đồ ăn phụ,ngon};{đồ ăn phụ,ít};{trình bày,ko đẹp}","{đồ ăn phụ,positive};{đồ ăn phụ,negative};{trình bày,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#STYLE&OPTIONS,negative}"
giá hơi cao so với các quán khác nhưng thịt ngon dịch vụ tốt,"{dịch vụ,tốt};{thịt,ngon};{giá,cao}","{dịch vụ,positive};{thịt,positive};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
công bằng mà nói quán này rất đông khách dù trong hẻm sâu chứng tỏ phải khá ngon,"{khách,đông};{null,ngon};{null,hẻm sâu}","{khách,neutral};{null,positive};{null,negative}","{RESTAURANT#GENERAL,neutral};{FOOD#QUALITY,positive};{LOCATION#GENERAL,negative}"
đồ ăn ngon nhưng không gian bị phá hỏng bởi tiếng ồn,"{đồ ăn,ngon};{không gian,ồn}","{đồ ăn,positive};{không gian,negative}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative}"
rau nhiều loại sạch sẽ thịt thái num miếng mỏng dính thổi chắc bay ăn không có gì đặc sắc,"{thịt,null};{rau,sạch sẽ};{rau,nhiều loại};{thịt,mỏng dính}","{thịt,neutral};{rau,positive};{rau,positive};{thịt,negative}","{FOOD#QUALITY,neutral};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,negative}"
đồ ăn ngon giá hơi cao tí nhưng chất lượng tốt,"{đồ ăn,ngon};{giá,cao};{chất lượng,tốt}","{đồ ăn,positive};{giá,negative};{chất lượng,positive}","{FOOD#QUALITY,positive};{FOOD#PRICES,negative};{FOOD#QUALITY,positive}"
điểm cộng đồ ăn ngon vừa miệng chuyên nghiệp điểm trừ nước giá cao trà đá giá tiền sữa thái giá tiền và xôi xoài cũng tới giá tiền,"{đồ ăn,ngon vừa miệng chuyên nghiệp};{giá,cao};{xôi xoài,null};{trà đá,null};{sữa thái,null}","{đồ ăn,positive};{giá,negative};{xôi xoài,neutral};{trà đá,neutral};{sữa thái,neutral}","{FOOD#QUALITY,positive};{DRINKS#PRICES,negative};{FOOD#PRICES,neutral};{DRINKS#PRICES,neutral};{DRINKS#PRICES,neutral}"
bữa lại chi nhánh này ăn vì thấy nó gần nhà với lại cũng vắng nghĩ bụng chắc sẽ làm nhanh không như những chổ khác ai dè nó chẳng những lâu mà phục vụ thì cũng siêu tệ,"{null,vắng};{null,lâu};{phục vụ,tệ};{gần nhà,null}","{null,neutral};{null,negative};{phục vụ,negative};{gần nhà,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{LOCATION#GENERAL,positive}"
thịt nướng rất ngon ăn nhân viên vô cùng lịch sự và chu đáo còn món lẩu cho num người ăn cũng rất ngon tuy nhiên giá cả mình cho là hơi đắt chưa xứng đáng lắm đồ uống cũng bình thường,"{nhân viên,lịch sự};{thịt nướng,ngon};{lẩu cho 2 người,ngon};{giá cả,đắt};{đồ uống,bình thường};{nhân viên,chu đáo}","{nhân viên,positive};{thịt nướng,positive};{lẩu cho 2 người,positive};{giá cả,negative};{đồ uống,neutral};{nhân viên,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative};{DRINKS#QUALITY,neutral};{SERVICE#GENERAL,positive}"
"giá cả num sao , chất lượng phục vụ âm sao .","{chất lượng phục vụ,null};{Giá cả,null}","{chất lượng phục vụ,negative};{Giá cả,positive}","{SERVICE#GENERAL,negative};{RESTAURANT#PRICES,positive}"
mình thường hay đến hokaido ăn giá hơi cao nhưng đồ chất lượng lắm ạ,"{đồ,chất lượng};{giá,cao}","{đồ,positive};{giá,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative}"
không gian khá đẹp sang trọng và nhìn rất cao cấp những món ăn cũng tương đối ngon mà còn được trang trí hấp dẫn giá phù hợp không quá cao với mọi người,"{món ăn,ngon};{trang trí,hấp dẫn};{giá,phù hợp};{null,cao cấp};{không gian,đẹp sang trọng}","{món ăn,positive};{trang trí,positive};{giá,neutral};{null,positive};{không gian,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
pana cota mỗi ly bé tí nhưng mà ngon tốt,"{panna cotta,bé tí};{panna cotta,ngon}","{panna cotta,negative};{panna cotta,positive}","{FOOD#STYLE&OPTIONS,negative};{FOOD#QUALITY,positive}"
thức ăn khá ngon nhưng thái độ phục vụ thật sự rất tệ,"{thái độ phục vụ,tệ};{thức ăn,ngon}","{thái độ phục vụ,negative};{thức ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
đồ uống cũng ok không có gì quá đặc sắc giá cũng khá cao đặc biệt ở đây còn bán đồ linh tinh các thể loại mà cái gì thấy cũng mắc quá tốt,"{giá,cao};{đồ uống,ok};{đồ linh tinh,mắc}","{giá,negative};{đồ uống,neutral};{đồ linh tinh,negative}","{DRINKS#PRICES,negative};{DRINKS#QUALITY,neutral};{RESTAURANT#MISCELLANEOUS,negative}"
"nhà hàng quang cảnh đẹp món ăn tạm ổn , vói chug ok","{món ăn,tạm ổn};{view,đẹp}","{món ăn,neutral};{view,positive}","{FOOD#QUALITY,neutral};{LOCATION#GENERAL,positive}"
bát hủ tiếu nhìn đầy đặn ngon giá cả mình thấy hơi cao nhưng ăn no ấm bụng nên thấy cũng xứng đáng,"{bát hủ tiếu,ngon};{bát hủ tiếu,đầy đặn};{giá cả,cao}","{bát hủ tiếu,positive};{bát hủ tiếu,positive};{giá cả,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,negative}"
quán làm món siêu lâu đợi rã ruột nhận được num hộp mỡ heo lèo phèo như này thất vọng quá đi mất sốt cũng chả ngon gì cơm thì cứng chắc quán được mỗi điểm bao bì sạch đẹp lt,"{làm món,lâu};{hộp mỡ heo,thất vọng};{sốt,chả ngon};{cơm,cứng};{bao bì,sạch đẹp}","{làm món,negative};{hộp mỡ heo,negative};{sốt,negative};{cơm,negative};{bao bì,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative};{RESTAURANT#MISCELLANEOUS,positive}"
"đồ ăn tạm được , giá cao , món bánh tráng gam mè không ngon , có vị đắng , có lẻ do chiên dầu cũ , hơi bị khét , không gian quán đẹp , thoải mái !","{đồ ăn,tạm được};{món bánh tráng gam mè,ko ngon};{vị,đắng};{không gian,đẹ};{giá,cao}","{đồ ăn,neutral};{món bánh tráng gam mè,negative};{vị,negative};{không gian,positive};{giá,negative}","{FOOD#QUALITY,neutral};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative};{AMBIENCE#GENERAL,positive};{RESTAURANT#PRICES,negative}"
vị trí trong hẻm nhưng dễ tìm không gian nhỏ nhắn nhưng ấm cúm trang trí đẹp và lịch sự đồ ăn steak ngon đẹp nhưng lâu lâu gặp miếng hơi dai,"{steak,ngon};{steak,đẹp};{không gian,ấm cúm};{trang trí,đẹp};{vị trí,dễ tìm};{trang trí,lịch sự}","{steak,positive};{steak,positive};{không gian,neutral};{trang trí,positive};{vị trí,positive};{trang trí,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,neutral};{AMBIENCE#GENERAL,positive};{LOCATION#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
tô mì ở đây cảm thấy rất ít ngon thật nhưng mà chỉ ăn một ít vậy chưa đủ no,"{null,ngon};{tô mì,ít}","{null,positive};{tô mì,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative}"
đồ ăn ngon nhưng nhân viên làm thất vọng quá mức,"{nhân viên,thất vọng};{đồ ăn,ngon}","{nhân viên,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
đồ ăn không có gì đặc sắc nước chấm sốt ướp cũng như chất lượng thịt thực sự bình thường phục vụ thì rất rất chậm,"{phục vụ,chậm};{đồ ăn,ko có gì đặc sắc};{nước chấm,bình thường};{sốt ướp,bình thường};{chất lượng thịt,bình thường}","{phục vụ,negative};{đồ ăn,neutral};{nước chấm,neutral};{sốt ướp,neutral};{chất lượng thịt,neutral}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{FOOD#QUALITY,neutral};{FOOD#QUALITY,neutral};{FOOD#QUALITY,neutral}"
cuối tuần đi nhậu với mấy anh công ty ở đây quán rộng mà đông nghẹt luôn chờ num phút mới có chỗ chui vào,"{quán,rộng};{chờ,null};{null,đông}","{quán,positive};{chờ,negative};{null,neutral}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,negative};{RESTAURANT#GENERAL,neutral}"
"kidinsaigon là kiểu nhà hàng nổi tiếng , thích hợp để đi ăn gia đình do thực đơn đa dạng đủ loại đồ ăn , khách đông nên gọi món hơi chậm","{kidiinsaigon,nổi tiếng};{menu,đa dạng đủ loại};{khách,đông};{gọi món,chậm}","{kidiinsaigon,positive};{menu,positive};{khách,neutral};{gọi món,negative}","{RESTAURANT#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative}"
"uống ngon , mùi trà thơm nồng , ít béo của sữa , rất vừa uống , nhân viên ok , giá cả hợp lí .","{nhân viên,ok};{uống,ngon};{null,vừa uống};{giá cả,hợp lí};{mùi trà,thơm nồng};{sữa,ít béo}","{nhân viên,neutral};{uống,positive};{null,neutral};{giá cả,positive};{mùi trà,positive};{sữa,positive}","{SERVICE#GENERAL,neutral};{DRINKS#QUALITY,positive};{DRINKS#QUALITY,neutral};{DRINKS#PRICES,positive};{DRINKS#QUALITY,positive};{DRINKS#QUALITY,positive}"
nhân viên phục vụ hơi lơ ngơ món cá mú sahimi hấp dẫn,"{nhân viên phục vụ,lơ ngơ};{món cá mú sahimi,hấp dẫn}","{nhân viên phục vụ,negative};{món cá mú sahimi,positive}","{SERVICE#GENERAL,negative};{FOOD#STYLE&OPTIONS,positive}"
🥯bao xá xíu giá tiền khá nhỏ nhưng thịt chất lượng,"{thịt,chất lượng};{null,nhỏ};{bao xá xíu,null}","{thịt,positive};{null,negative};{bao xá xíu,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,neutral}"
"nhân viên nhìn chung ok nhưng phục vụ hơi lâu , còn lại mọi thứ mình thấy tuyệt","{nhân viên,ok};{phục vụ,lâu};{mọi thứ,tuyệt}","{nhân viên,neutral};{phục vụ,negative};{mọi thứ,positive}","{SERVICE#GENERAL,neutral};{SERVICE#GENERAL,negative};{RESTAURANT#GENERAL,positive}"
tuy không gian có hơi củ kĩ vì đã xay dung lâu lắm rồi nhưng chất lượng món ăn và phục vụ khách thì dễ thương không lẫn vào đâu được,"{phục vụ khách,dễ thương};{chất lượng món ăn,null};{không gian,củ kĩ}","{phục vụ khách,positive};{chất lượng món ăn,positive};{không gian,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative}"
giá thì hơi cao đấy nhân viên phục vụ lịch sự,"{nhân viên phục vụ,lịch sự};{giá,cao}","{nhân viên phục vụ,positive};{giá,negative}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,negative}"
bufet hơi chán vì đồ ăn kèm không đa dạng lên món lâu quá nhưng được miễn phí nước,"{buffet,chán};{đồ ăn kèm,không đa dạng};{lên món,lâu};{nước,free}","{buffet,negative};{đồ ăn kèm,negative};{lên món,negative};{nước,positive}","{FOOD#QUALITY,negative};{FOOD#STYLE&OPTIONS,negative};{SERVICE#GENERAL,negative};{FOOD#STYLE&OPTIONS,positive}"
về nhân viên phục vụ nhanh gọn vui vẻ nhiệt tình về không gian ấm cúng được về món ăn bánh mỏng ăn không ngon lắm nhưng bù lại bánh dày ăn rất ok,"{nhân viên phục vụ,nhanh gọn vui vẻ nhiệt tình};{bánh mỏng,không ngon};{bánh dày,rất ok};{không gian,ấm cúng}","{nhân viên phục vụ,positive};{bánh mỏng,negative};{bánh dày,positive};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,negative};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive}"
"dimsum không ngon , phục vụ ok , giá cả chưa thật sự phù hợp !","{Dimsum,không ngon};{phục vụ,ok};{giá cả,null}","{Dimsum,negative};{phục vụ,neutral};{giá cả,negative}","{FOOD#QUALITY,negative};{SERVICE#GENERAL,neutral};{RESTAURANT#PRICES,negative}"
giá bufer tối niko cao mà hải sản không nhiều không gian nhỏ đồ ăn cũng ngon mà rượu dở không thể nào uống được,"{đồ ăn,ngon};{hải sản,không nhiều};{không gian,nhỏ};{rượu,dở};{giá buffer,cao}","{đồ ăn,positive};{hải sản,negative};{không gian,negative};{rượu,negative};{giá buffer,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{AMBIENCE#GENERAL,negative};{DRINKS#QUALITY,negative};{RESTAURANT#PRICES,negative}"
gọi món hơi lâu nhưng chất lượng đồ ăn tốt rất sạch sẽ,"{chất lượng đồ ăn,tốt};{gọi món,lâu};{chất lượng đồ ăn,sạch sẽ}","{chất lượng đồ ăn,positive};{gọi món,negative};{chất lượng đồ ăn,positive}","{FOOD#QUALITY,positive};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
món ăn ngon hợp khẩu vị chi phí không quá cao,"{món ăn,ngon hợp khẩu vị};{chi phí,không quá cao}","{món ăn,positive};{chi phí,neutral}","{FOOD#QUALITY,positive};{FOOD#PRICES,neutral}"
tuy nhiên ngoài điểm trừ về không gian thì thực đơn đồ ăn đến chất lượng món đều đánh giá cao,"{chất lượng món,đánh giá cao};{menu đồ ăn,đánh giá cao};{không gian,điểm trừ}","{chất lượng món,positive};{menu đồ ăn,positive};{không gian,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,negative}"
dể thương ghê nhân viên phục vụ rất chuyên nghiệp nhưng món lên khá lâu khoản num phút thức ăn thì theo mình là khá ngon trang trí kiểu cách xứng đáng đồng tiền,"{nhân viên phục vụ,chuyên nghiệp};{món lên,lâu};{thức ăn,ngon};{trang trí kiểu cách,xứng đáng}","{nhân viên phục vụ,positive};{món lên,negative};{thức ăn,positive};{trang trí kiểu cách,positive}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive}"
giá hơi đắt hơi dimtutac một chút nhưng bù lại không gian tuyệt vời,"{giá,đắt};{không gian,tuyệt vời}","{giá,negative};{không gian,positive}","{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
gà sốt mexican ngon chất lượng đồ ăn tốt không gian trang trí đẹp nên giá cả của nhà hàng này không phải là rẻ,"{gà sốt mexican,ngon};{chất lượng đồ ăn,tốt};{không gian trang trí,đẹp};{giá cả,null}","{gà sốt mexican,positive};{chất lượng đồ ăn,positive};{không gian trang trí,positive};{giá cả,negative}","{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{RESTAURANT#PRICES,negative}"
ăn cũng được giá hơi đắt nước mắm ngon nhưng nem cho nhiều bột ngọt quá mình là không bị dị ứng nhưng còn cảm nhận được là bột ngọt quá nhiều thì bạn nào mà nói bột ngọt chắc ngất luôn,"{null,cũng đc};{nước mắm,ngon};{nem,nhiều bột ngọt};{giá,đắt}","{null,neutral};{nước mắm,positive};{nem,negative};{giá,negative}","{FOOD#QUALITY,neutral};{FOOD#QUALITY,positive};{FOOD#QUALITY,negative};{RESTAURANT#PRICES,negative}"
