task,raw_input,input,output,raw_output
acsa,Ăn cũng rẻ và khá ưng nếu hôm nào cần đồ nhẹ bụng.,ăn cũng rẻ và khá ưng nếu hôm nào cần đồ nhẹ bụng .,giá tiền nhà hàng tốt và nhà hàng nói chung tốt,"{RESTAURANT#PRICES, positive}, {RESTAURANT#GENERAL, positive}"
acsa,Mấy anh chị nhân viên ở đây cũng dễ thương nữa.,mấy anh chị nhân viên ở đây cũng dễ thương nữa .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Vừa rồi có dịp thử trà hoa hồng váng sữa và thấy vị khá tệ, nhạt nhẽo.","vừa rồi có dịp thử trà hoa hồng váng sữa và thấy vị khá tệ , nhạt nhẽo .",chất lượng đồ uống tệ,"{DRINKS#QUALITY, negative}"
acsa,Bởi vì trước khi đi đã quá nhiều người khen ngợi nên sự kỳ vọng của mình cao quá.,bởi vì trước khi đi đã quá nhiều người khen ngợi nên sự kỳ vọng của mình cao quá .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,Cheese béo thơm thêm cả cục kem ngon thiệt ngon.,chese béo thơm thêm cả cục kem ngon thiệt ngon .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Bánh tráng khá rẻ nhưng phải chờ rất lâu luôn.,bánh tráng khá rẻ nhưng phải chờ rất lâu luôn .,giá tiền đồ ăn tốt và phục vụ tệ,"{FOOD#PRICES, positive}, {SERVICE#GENERAL, negative}"
acsa,Beef steak là ngon nhất.,bef steak là ngon nhất .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Giá cả:tất cả gần 500k, giá vầy là không quá mắc.","giá cả : tất cả gần giá tiền , giá vầy là không quá mắc .",giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,"- nhân viên tư vấn nhiệt tình, thân thiện, dễ thương.","- nhân viên tư vấn nhiệt tình , thân thiện , dễ thương .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Nói chung là ko chê được chỉ có là mình góp ý xíu là bàn ghế sát nhau quá, mỗi lần di chuyển cực kì khó khăn, chỉ v thoi.","nói chung là không chê được chỉ có là mình góp ý xíu là bàn ghế sát nhau quá , mỗi lần di chuyển cực kì khó khăn , chỉ v thoi .",không gian tệ,"{AMBIENCE#GENERAL, negative}"
acsa,"Sáng đi làm vội k mang đồ ăn sáng, đi qua Giảng Võ thấy Bamibread đông nên vào ăn thử 1 cái.","sáng đi làm vội không mang đồ ăn sáng , đi qua giảng võ thấy bamibread đông nên vào ăn thử num cái .",nhà hàng nói chung tạm và địa chỉ tạm,"{RESTAURANT#GENERAL, neutral}, {LOCATION#GENERAL, neutral}"
acsa,"Nhiều món Âu, Á nhìn phát thèm.","nhiều món âu , á nhìn phát thèm .",lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,Buffet bình dân ở Pepperonis Hàng Trống 😚.,bufet bình dân ở peperonis hàng trống tốt .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,"Về hương vị thì tuỳ loại, không phải loại nào cũng ngon.","về hương vị thì tuỳ loại , không phải loại nào cũng ngon .",chất lượng đồ uống tạm,"{DRINKS#QUALITY, neutral}"
acsa,💋 Vị trí:Quán nằm ngay đầu ngõ.,tốt vị trí : quán nằm ngay đầu ngõ .,địa chỉ tạm,"{LOCATION#GENERAL, neutral}"
acsa,Mình ít khi ghé chi nhánh này vì tay nghề nhân viên không đồng đều.,mình ít khi ghé chi nhánh này vì tay nghề nhân viên không đồng đều .,phục vụ tạm,"{SERVICE#GENERAL, neutral}"
acsa,"mình đã ăn top blade 600 kèm sốt yaua, sốt vang đỏ và sốt tiêu.","mình đã ăn hạng blade giá tiền èm sốt yaua , sốt vang đỏ và sốt tiêu .",lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,"❤️ Mình chọn combo 8 giá là 370k gốc, chưa tính thuế.","tốt mình chọn kết hợp num giá là giá tiền gốc , chưa tính thuế .",giá tiền nhà hàng tạm,"{RESTAURANT#PRICES, neutral}"
acsa,Cảm giác đầu tiên khi cho vào miệng là mẶn :((.,cảm giác đầu tiên khi cho vào miệng là mặn : ( ( .,chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,Ăn khá lạ vì bình thường những hàng khác là lẩu ếch măng.,ăn khá lạ vì bình thường những hàng khác là lẩu ếch măng .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Nhạc hay, không gian trất trơi, hợp cho các bạn gái sống ảo.","nhạc hay , không gian trất trơi , hợp cho các bạn gái sống ảo .",vấn đề khác tốt và không gian tốt,"{RESTAURANT#MISCELLANEOUS, positive}, {AMBIENCE#GENERAL, positive}"
acsa,"Mẹ mình, mình với con em gọi 1 phần gỏi vịt 3 người ăn lấy đùi, cánh với trứng non, bonus thêm 2 phần trứng non nữa.","mẹ mình , mình với con em gọi num phần gỏi vịt num người ăn lấy đùi , cánh với trứng non , thêm nữa thêm num phần trứng non nữa .",lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,"Mỗi tội quán này đông quá, đúng vị trí đẹp nên đông dã man huhu.","mỗi tội quán này đông quá , đúng vị trí đẹp nên đông dã man tệ .",nhà hàng nói chung tốt và địa chỉ tốt,"{RESTAURANT#GENERAL, positive}, {LOCATION#GENERAL, positive}"
acsa,Sợi hủ tiếu làm bằng bột lọc chứ ko phải bột gạo nên nó trong trong dai dai rất ngon.,sợi hủ tiếu làm bằng bột lọc chứ không phải bột gạo nên nó trong trong dai dai rất ngon .,chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt,"{FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, positive}"
acsa,"Ăn cơm gia định, off bạn bè khá phù hợp còn mời đối tác thì nên cân nhắc vì mình thấy đồ ăn không đặc sắc lắm.","ăn cơm gia định , of bạn bè khá phù hợp còn mời đối tác thì nên cân nhắc vì mình thấy đồ ăn không đặc sắc lắm .",chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}"
acsa,"Cũng có cơ hội thử gần full menu và chọn ra vài món mình thích:olong sữa, phúc long sữa, trà đào sữa, chocolate( uống như milo í, lâu lâu đổi gió sẽ gọi món này), trà đào, trà vải, nước ép, matcha đá xay.","cũng có cơ hội thử gần ful thực đơn và chọn ra vài món mình thích : olong sữa , phúc long sữa , trà đào sữa , chocolate ( uống như milo í , lâu lâu đổi gió sẽ gọi món này ) , trà đào , trà vải , nước ép , matcha đá xay .",lựa chọn đồ uống tốt,"{DRINKS#STYLE&OPTIONS, positive}"
acsa,Bánh nhà làm của Shop ăn ngon chất lượng.,bánh nhà làm của cửa hàng ăn ngon chất lượng .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Tuy nhiều socola thế nhưng k ngọt gắt đâu.,tuy nhiều socola thế nhưng không ngọt gắt đâu .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Không gian bé, có 1 tầng thôi.","không gian bé , có num tầng thôi .",không gian tệ,"{AMBIENCE#GENERAL, negative}"
acsa,Nhân viên niềm nở.,nhân viên niềm nở .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Chỉ trừ có topping trân châu đào là mình không thích lắm vì không rõ vị đào, không khác trân châu trắng.","chỉ trừ có toping trân châu đào là mình không thích lắm vì không rõ vị đào , không khác trân châu trắng .",chất lượng đồ uống tệ,"{DRINKS#QUALITY, negative}"
acsa,Thỉnh thoảng đổi gió ở đây cũng ok.,thỉnh thoảng đổi gió ở đây cũng ok .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,Vì đối diện trường mình nên là địa điểm tụ tập.,vì đối diện trường mình nên là địa điểm tụ tập .,địa chỉ tạm,"{LOCATION#GENERAL, neutral}"
acsa,Lúc trước toàn ăn bánh su có nhân dc nhồi vào trong chứ k phải như combo trong hình là phần kwm nằm ở ngoài.,lúc trước toàn ăn bánh su có nhân được nhồi vào trong chứ không phải như kết hợp trong hình là phần kwm nằm ở ngoài .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,🍤phần mực chiên giòn ăn kèm sốt tar tar hơi bị ngon.,🍤phần mực chiên giòn ăn kèm sốt tar tar hơi bị ngon .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Điểm trừ duy nhất là đợi món hơi lâu thôi 😱.,điểm trừ duy nhất là đợi món hơi lâu thôi tệ .,phục vụ tệ,"{SERVICE#GENERAL, negative}"
acsa,"Mình là đứa ghiền Starbucks, đã đi gần như tất cả các chi nhánh nhưng vẫn không ưng chỗ nào bằng Rex, từ không gian tới nhân viên cũng như chất lượng sản phẩm ;).","mình là đứa ghiền starbucks , đã đi gần như tất cả các chi nhánh nhưng vẫn không ưng chỗ nào bằng ` , từ không gian tới nhân viên cũng như chất lượng sản phẩm ; ) .",nhà hàng nói chung tốt và phục vụ tốt và không gian tốt,"{RESTAURANT#GENERAL, positive}, {SERVICE#GENERAL, positive}, {AMBIENCE#GENERAL, positive}"
acsa,"Bánh toast thì 55 k,59 k nha.","bánh toast thì giá tiền hông , giá tiền hông nha .",giá tiền đồ ăn tạm,"{FOOD#PRICES, neutral}"
acsa,Thêm trân châu trắng mộng nước và dòn dòn dai dai thích dễ sợ.,thêm trân châu trắng mộng nước và dòn dòn dai dai thích dễ sợ .,chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,Ăn cùng dưa leo giòn giòn.,ăn cùng dưa leo giòn giòn .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,Các món ăn kèm cũng nhiều không kém.,các món ăn kèm cũng nhiều không kém .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,Súp hải sản nhiều hải sản nhưng hơi lạt ăn phải chang nước tương.,súp hải sản nhiều hải sản nhưng hơi lạt ăn phải chang nước tương .,chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,Oy chi nhánh gần nhà nhất lại ở ngay khu trung tâm nên đi n lần muốn phát chán rùi =)).,oy chi nhánh gần nhà nhất lại ở ngay khu trung tâm nên đi ngày lần muốn phát chán rùi = ) ) .,địa chỉ tốt,"{LOCATION#GENERAL, positive}"
acsa,Mình thích món hàu ở đây nhất vì rất tươi và sạch.,mình thích món hàu ở đây nhất vì rất tươi và sạch .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Chủ yếu ăn để thưởng thức và biết mùi vị chứ không phải ăn để no nha:D.,chủ yếu ăn để thưởng thức và biết mùi vị chứ không phải ăn để no nha : do .,lựa chọn đồ ăn tệ,"{FOOD#STYLE&OPTIONS, negative}"
acsa,Salad khoai nghiền ăn ổn ko có gì đặc sắc.,salad khoai nghiền ăn ổn không có gì đặc sắc .,chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}"
acsa,"Không gian:take away nên không rõ, nhưng tầng 1 decor khá nice, mỗi tội trông nhỏ :))).","không gian : take away nên không rõ , nhưng tầng num trang trí khá tốt , mỗi tội trông nhỏ : ) ) ) .",không gian tạm,"{AMBIENCE#GENERAL, neutral}"
acsa,"Những món nên thử:Ốc hương ram trứng muối, Nghêu hấp thái ăn kèm với mì gói, Tôm cajun.","những món nên thử : ốc hương ram trứng muối , nghêu hấp thái ăn kèm với mì gói , tôm cajun .",lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,"Có 3 món là olong kem cheese, trà sữa olong và olong thái cực :3.","có num món là olong kem chese , trà sữa olong và olong thái cực : num .",lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,"Nhà hàng Z pizza nằm trong toà thương mại, xung quanh rất nhiều hàng quán.","nhà hàng vậy piza nằm trong toà thương mại , xung quanh rất nhiều hàng quán .",địa chỉ tốt,"{LOCATION#GENERAL, positive}"
acsa,"Chất lượng và ngon thiệt, hồi xưa mình nhớ chỗ nhà này bán mì nè, mà giờ dẹp rồi bán mỗi há cảo thôi.","chất lượng và ngon thiệt , hồi xưa mình nhớ chỗ nhà này bán mì nè , mà giờ dẹp rồi bán mỗi há cảo thôi .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Có nặg thêm mjếg chanh làm tăg độ ngon của cá lên.,có nặg thêm mjếg chanh làm tăg độ ngon của cá lên .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,Đã từng uống ở đây rất nhiều lần và luôn luôn hài lòng về chất lượng của quán.,đã từng uống ở đây rất nhiều lần và luôn luôn hài lòng về chất lượng của quán .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,"Các món có đồ ăn kèm đều ngon, đặc biệt là cơm và xôi.","các món có đồ ăn kèm đều ngon , đặc biệt là cơm và xôi .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Mình thường đi ăn bình dân nên giá như vầy hơi chát, dù chất lượng rất tương xứng với giá cả.","mình thường đi ăn bình dân nên giá như vầy hơi chát , dù chất lượng rất tương xứng với giá cả .",giá tiền nhà hàng tệ và nhà hàng nói chung tốt,"{RESTAURANT#PRICES, negative}, {RESTAURANT#GENERAL, positive}"
acsa,Không gian thì mìn thấy ko đẹp lắm tại bàn sát sát nhau và đông quá ko còn lãng mạn nữa.,không gian thì mìn thấy không đẹp lắm tại bàn sát sát nhau và đông quá không còn lãng mạn nữa .,không gian tạm,"{AMBIENCE#GENERAL, neutral}"
acsa,🌿 Cảnh thì không bàn nhiều đẹp và lên hình lung la lung linh luôn.,🌿 cảnh thì không bàn nhiều đẹp và lên hình lung la lung linh luôn .,không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,Có nhân viên dắt xe ra giùm luôn.,có nhân viên dắt xe ra giùm luôn .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Phục vụ khỏi chê lun, mình đi 1 mình nên có cảm giác được tiếp đón nồng nhiệt hơn thì phải.","phục vụ khỏi chê lun , mình đi num mình nên có cảm giác được tiếp đón nồng nhiệt hơn thì phải .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Chốt lại tôi thấy quán ko còn giữ được phong độ như xưa nữa.,chốt lại tôi thấy quán không còn giữ được phong độ như xưa nữa .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,Bánh thì khỏi chê luôn.,bánh thì khỏi chê luôn .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Bánh giò ăn ngon, mặc dù không to bằng những chỗ khác nhưng rất ngon.","bánh giò ăn ngon , mặc dù không to bằng những chỗ khác nhưng rất ngon .",chất lượng đồ ăn tốt và lựa chọn đồ ăn tạm,"{FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, neutral}"
acsa,"Lúc ra gọi thêm piza thì trong cuộc đời ăn piza của mình, kể cả là piza cho sinh viên cũng ko tệ đến thế.","lúc ra gọi thêm piza thì trong cuộc đời ăn piza của mình , kể cả là piza cho sinh viên cũng không tệ đến thế .",chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,"Mình gọi 1 phần egg benedict, khá là ngon luôn, trứng chín đúng độ, đủ để chọc vào là lòng đỏ ứa ra.","mình gọi num phần eg benedict , khá là ngon luôn , trứng chín đúng độ , đủ để chọc vào là lòng đỏ ứa ra .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,Cách trình bày không đẹp nhưng vài món nướng ướp cũng được.,cách trình bày không đẹp nhưng vài món nướng ướp cũng được .,lựa chọn đồ ăn tệ và chất lượng đồ ăn tạm,"{FOOD#STYLE&OPTIONS, negative}, {FOOD#QUALITY, neutral}"
acsa,Vị uống cũng tạm.,vị uống cũng tạm .,chất lượng đồ uống tạm,"{DRINKS#QUALITY, neutral}"
acsa,Nhân viên thì bạn nào cũng đẹp nhanh nhẹn và nói rất tốt tiếng Anh.,nhân viên thì bạn nào cũng đẹp nhanh nhẹn và nói rất tốt tiếng anh .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Menu nhiều món, chưa kể đồ uống nên có thể nói là thiếu kỹ năng.","thực đơn nhiều món , chưa kể đồ uống nên có thể nói là thiếu kỹ năng .",lựa chọn đồ ăn tốt và phục vụ tệ,"{FOOD#STYLE&OPTIONS, positive}, {SERVICE#GENERAL, negative}"
acsa,Cho thêm sốt vào là bị mặn.,cho thêm sốt vào là bị mặn .,chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}"
acsa,"Lý do để món ăn này được trẻ con, người già và mọi người yêu thích là:đơn giản, no bụng, ngon miệng và( tất nhiên) được phủ phô mai.","lý do để món ăn này được trẻ con , người già và mọi người yêu thích là : đơn giản , no bụng , ngon miệng và ( tất nhiên ) được phủ phô mai .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,"Bù lại xíu là đồ ăn ngon, vừa miệng.","bù lại xíu là đồ ăn ngon , vừa miệng .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Quán KO CHO MANG THỨC ĂN VÀ NƯỚC UỐNG BÊN NGOÀI VÀO nhé.,quán không cho mang thức ăn và nước uống bên ngoài vào nhé .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,"Mình thấy các món ăn làm khá thôi chứ chưa đặc sắc lắm, trái cây tráng miệng cũng nhiều, thích rau câu và bánh ngọt.","mình thấy các món ăn làm khá thôi chứ chưa đặc sắc lắm , trái cây tráng miệng cũng nhiều , thích rau câu và bánh ngọt .",chất lượng đồ ăn tạm và lựa chọn đồ ăn tốt,"{FOOD#QUALITY, neutral}, {FOOD#STYLE&OPTIONS, positive}"
acsa,"Order thử một hủ khô gà, một hủ bánh tráng sa tế tỏi tắc, 1 xâu bánh bao sữa mini.","order thử một hủ khô gà , một hủ bánh tráng sa tế tỏi tắc , num xâu bánh bao sữa mini .",lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,"Hôm đi gọi Pizza bò, chắc vì không quen nên không thích vị Pizza này lắm.","hôm đi gọi piza bò , chắc vì không quen nên không thích vị piza này lắm .",chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,Thức uống thì cũng na ná nhau có khi do mình ko quen nên ún thấy không ngon lắm thì phải:D.,thức uống thì cũng na ná nhau có khi do mình không quen nên uống thấy không ngon lắm thì phải : do .,chất lượng đồ uống tạm,"{DRINKS#QUALITY, neutral}"
acsa,"Giá bán rất bình dân, chỉ là quán khá nhỏ chỉ nên đi tối đa 4 người thì sẽ có chỗ ngồi.","giá bán rất bình dân , chỉ là quán khá nhỏ chỉ nên đi tối đa num người thì sẽ có chỗ ngồi .",không gian tệ và giá tiền nhà hàng tốt,"{AMBIENCE#GENERAL, negative}, {RESTAURANT#PRICES, positive}"
acsa,"Thiết nghĩ đồ Việt vẫn nhất:3 thêm bánh kem trứng kiểu Pháp ngon lạ, có lớp đường kính mặt trên.","thiết nghĩ đồ việt vẫn nhất : num thêm bánh kem trứng kiểu pháp ngon lạ , có lớp đường kính mặt trên .",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt,"{FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, positive}"
acsa,"Trà thơm, ít ngọt, nhưng loại trà dâu mình thích thì ko còn bán nữa = > buồn tập 1.","trà thơm , ít ngọt , nhưng loại trà dâu mình thích thì không còn bán nữa = > buồn tập num .",chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}"
acsa,Vào quán thì nhân viên niềm nở tích cực lắm.,vào quán thì nhân viên niềm nở tích cực lắm .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Cả 3 lần đến quán đều gặp một em trai nhân viên khâu nghe, diễn đạt và hiểu hơi có chút trục trặc nhưng em rất nhiệt tình dễ thương hihii.","cả num lần đến quán đều gặp một em trai nhân viên khâu nghe , diễn đạt và hiểu hơi có chút trục trặc nhưng em rất nhiệt tình dễ thương hihi .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Trân châu thì hơi cứng, không ngon mấy, mềm hơn xí thì tốt.","trân châu thì hơi cứng , không ngon mấy , mềm hơn xí thì tốt .",chất lượng đồ uống tệ,"{DRINKS#QUALITY, negative}"
acsa,Pub này đang là sự lựa chọn rất đông đảo của giới trẻ Đà Nẵng.,pub này đang là sự lựa chọn rất đông đảo của giới trẻ đà nẵng .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,"✅ Không gian của quán tương đối nhỏ, nếu đi giờ cao điểm thường sẽ hết chỗ và không gian hơi ồn 1 xíu.","✅ không gian của quán tương đối nhỏ , nếu đi giờ cao điểm thường sẽ hết chỗ và không gian hơi ồn num xíu .",không gian tệ và nhà hàng nói chung tạm,"{AMBIENCE#GENERAL, negative}, {RESTAURANT#GENERAL, neutral}"
acsa,Vào ăn phục vụ thì quán như kiểu thiếu nhân viên nên bước vào quán thì phải vào tận trong để hỏi a nhân viên phục vụ mà ko ai tiếp đón.,vào ăn phục vụ thì quán như kiểu thiếu nhân viên nên bước vào quán thì phải vào tận trong để hỏi anh nhân viên phục vụ mà không ai tiếp đón .,phục vụ tệ,"{SERVICE#GENERAL, negative}"
acsa,"# Nhân viên:cũng dễ thương, lịch sự nhưng quán theo hướng tự phục vụ nên cũng ít thấy bóng dáng nhiều.","hagtag viên : cũng dễ thương , lịch sự nhưng quán theo hướng tự phục vụ nên cũng ít thấy bóng dáng nhiều .",phục vụ tốt và nhà hàng nói chung tạm,"{SERVICE#GENERAL, positive}, {RESTAURANT#GENERAL, neutral}"
acsa,"Thấy các bạn trẻ ca ngợi dữ quá, hoá ra cũng bình thường.","thấy các bạn trẻ ca ngợi dữ quá , hoá ra cũng bình thường .",nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,"Về đồ ăn thì mình gọi 2 set 65k bao gồm 2 burger bò phomai, 2 khoai và 2 nước.","về đồ ăn thì mình gọi num tập hợp giá tiền bao gồm num burger bò phomai , num khoai và num nước .",giá tiền đồ ăn tạm và lựa chọn đồ ăn tạm,"{FOOD#PRICES, neutral}, {FOOD#STYLE&OPTIONS, neutral}"
acsa,"➡️Không gian sang trọng, mát mẻ lắm nè.","➡️không gian sang trọng , mát mẻ lắm nè .",không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,"Rau ăn kèm khá lạ, có mướp, rau mồng tơi, rau rền.","rau ăn kèm khá lạ , có mướp , rau mồng tơi , rau rền .",lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,"Đi ăn với gia đình ở đây 1 lần, hôm đó đi hơi trễ 8h mới đến, đồ ăn cũng gần hết, mình cảm nhận thức ăn cũng ngon, không gian sang trọng và sạch sẽ.","đi ăn với gia đình ở đây num lần , hôm đó đi hơi trễ num h mới đến , đồ ăn cũng gần hết , mình cảm nhận thức ăn cũng ngon , không gian sang trọng và sạch sẽ .",chất lượng đồ ăn tốt và không gian tốt,"{FOOD#QUALITY, positive}, {AMBIENCE#GENERAL, positive}"
acsa,"Chân gà thì ngon số dzách mà mình kh thấy muối ở đâu chỉ thấy chân gà chiên thôi, mà tẩm vs bột hay s mà giòn ngon kh bị khô.","chân gà thì ngon số đỉnh nhất mà mình không thấy muối ở đâu chỉ thấy chân gà chiên thôi , mà tẩm với bột hay s mà giòn ngon không bị khô .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,"Vị trí dễ tìm, gần sân khấu trống đồng, quán nhỏ có lầu.","vị trí dễ tìm , gần sân khấu trống đồng , quán nhỏ có lầu .",địa chỉ tốt và không gian tệ,"{LOCATION#GENERAL, positive}, {AMBIENCE#GENERAL, negative}"
acsa,"Nhân viên chuyên nghiệp, ra vào có người mở cửa, phục vụ tận miệng.","nhân viên chuyên nghiệp , ra vào có người mở cửa , phục vụ tận miệng .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Decor:quán ko chú trọng phần này lắm nhưng cũng đáp ứng Đc những tiêu chuẩn tối thiểu.,trang trí : quán không chú trọng phần này lắm nhưng cũng đáp ứng được những tiêu chuẩn tối thiểu .,không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,"Nước uống được phục vụ ra nhanh chóng đầu tiên, tiếp đó là cá hồi.","nước uống được phục vụ ra nhanh chóng đầu tiên , tiếp đó là cá hồi .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Từ giữ xe cho đến nhân viên phục vụ và pha chế đều là con trai hết.,từ giữ xe cho đến nhân viên phục vụ và pha chế đều là con trai hết .,phục vụ tạm,"{SERVICE#GENERAL, neutral}"
acsa,"👉 Khoai lang chiên 15k:chiên luôn cả vỏ nên nhìn khá bắt mắt, khoai ngọt, các thớ khoai xắt khá to nè, khoai lang chiên nhưng không có giòn.","tốt khoai lang chiên giá tiền : chiên luôn cả vỏ nên nhìn khá bắt mắt , khoai ngọt , các thớ khoai xắt khá to nè , khoai lang chiên nhưng không có giòn .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tạm và giá tiền đồ ăn tạm,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, neutral}, {FOOD#PRICES, neutral}"
acsa,Trước gọi thì phải gần 1h mới có đồ thì giờ khoảng 20 ' đã có đồ ra rồi.,trước gọi thì phải gần num h mới có đồ thì giờ khoảng num ' đã có đồ ra rồi .,phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Thích nhất bé nhân viên order đồ ăn, người gì mà dễ thương thấy sợ :))).","thích nhất bé nhân viên order đồ ăn , người gì mà dễ thương thấy sợ : ) ) ) .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,"Nhân viên chịu khó tư vấn cho khách, nhiệt tình.","nhân viên chịu khó tư vấn cho khách , nhiệt tình .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Tuy nhiên giá thì đắt quá ko dám uống thường xuyên được.,tuy nhiên giá thì đắt quá không dám uống thường xuyên được .,giá tiền đồ uống tệ,"{DRINKS#PRICES, negative}"
acsa,"Nhân viên ok nhưg quán hơi tối tẹo chắc do quán lâu qá rồi, nên chọn chỗ nhiều đèn ngồi cho thoải mái chụp anhe cho đẹp:d.","nhân viên ok nhưg quán hơi tối tẹo chắc do quán lâu quá rồi , nên chọn chỗ nhiều đèn ngồi cho thoải mái chụp anhe cho đẹp : do .",phục vụ tốt và không gian tạm,"{SERVICE#GENERAL, positive}, {AMBIENCE#GENERAL, neutral}"
acsa,"Được cái là kem phủ bên trên không bị quá ngọt, vỏ bánh cũng thế, nên khi ăn cùng nhau rất hài hoà.","được cái là kem phủ bên trên không bị quá ngọt , vỏ bánh cũng thế , nên khi ăn cùng nhau rất hài hoà .",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#QUALITY, positive}"
acsa,"Tiếp theo là đến nhân viên,mình để ý quán có ghi giấy là không chào khách trừ 50.000đ gì đó,nhưng tới quán 2 3 lần rồi mà lúc ra về vẫn thấy nhân viên ngẩng mặt tự tin lướt qua như một cơn gió nhẹ :).","tiếp theo là đến nhân viên , mình để ý quán có ghi giấy là không chào khách trừ num . num đ gì đó , nhưng tới quán num lần rồi mà lúc ra về vẫn thấy nhân viên ngẩng mặt tự tin lướt qua như một cơn gió nhẹ : ) .",phục vụ tệ,"{SERVICE#GENERAL, negative}"
